Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Unit_Price,Total_Cost,Discount_Rate,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country,Customer_Name,Customer_Phone,Customer_Email,Customer_Address,Product_List_Title
200,32:25.9,1086,536,3,120.4368213,8265.374549,0.2,Online,High,WH-3,2-Day,Cancelled,Neutral,FALSE,Wrong Item,Wire Transfer,FALSE,West,Canada,Customer 200,-10529,customer.200.78@example.com,"275 Second St, Phoenix, USA",Product 53
321,55:08.1,1078,523,6,475.7249936,4047.850479,,Reseller,Critical,WH-1,Overnight,Backorder,Satisfied,TRUE,Damaged,PayPal,TRUE,South,Mexico,Customer 321,-6256,customer.321.13@sample.com,"478 Third St, New York, USA",Product 33
989,12:58.4,1077,535,3,146.400556,,0.05,Direct,Critical,WH-1,Overnight,Pending,Unsatisfied,TRUE,Damaged,PayPal,TRUE,West,Canada,Customer 989,-10559,customer.989.99@example.com,"843 Second St, Phoenix, USA",Product 6
682,03:14.6,1027,546,6,19.37319355,8194.281993,,Reseller,Medium,WH-1,Express,Pending,Unsatisfied,FALSE,Wrong Item,Cash,TRUE,South,Canada,Customer 682,-6897,customer.682.66@demo.com,"153 Main St, Phoenix, USA",Product 68
484,08:06.5,1052,556,8,193.221313,8331.329249,0.2,Direct,Low,WH-2,2-Day,Delivered,Satisfied,TRUE,Late,Cash,FALSE,South,Mexico,Customer 484,-10454,customer.484.3@sample.com,"264 Second St, New York, USA",Product 89
483,11:21.1,1074,549,8,37.72697151,6894.375244,0.05,Reseller,Medium,WH-3,2-Day,Backorder,Unsatisfied,TRUE,Not Specified,PayPal,FALSE,South,USA,Customer 483,-4913,customer.483.31@example.com,"629 Third St, Los Angeles, USA",Product 27
757,11:21.1,1061,547,7,193.9797749,4611.329101,0.15,Direct,Critical,WH-3,Express,Cancelled,Neutral,FALSE,Late,Credit Card,TRUE,South,Canada,Customer 757,-5788,customer.757.80@demo.com,"598 Main St, Los Angeles, USA",Product 83
985,25:56.8,1040,542,1,486.807631,7623.669347,,Direct,Critical,WH-2,Overnight,Delivered,Neutral,TRUE,Not Specified,Credit Card,FALSE,North,Canada,Customer 985,-8481,customer.985.31@demo.com,"387 Main St, Los Angeles, USA",Product 13
795,53:30.8,1014,533,1,455.0319595,6194.880827,,Direct,Medium,WH-1,Express,Delivered,Neutral,TRUE,Late,PayPal,FALSE,East,Mexico,Customer 795,-5155,customer.795.34@sample.com,"130 Third St, Los Angeles, USA",Product 54
459,16:13.0,1040,529,8,339.6244672,5933.960844,,Partner,Critical,WH-3,Overnight,Pending,Unsatisfied,TRUE,Late,Credit Card,FALSE,South,USA,Customer 459,-6987,customer.459.35@demo.com,"526 Third St, Phoenix, USA",Product 35
826,32:25.9,1039,521,1,142.0608125,4697.420196,,Reseller,Medium,WH-2,Overnight,Delivered,Unsatisfied,FALSE,Wrong Item,Cash,TRUE,East,Canada,Customer 826,-2245,customer.826.85@demo.com,"420 Third St, Chicago, USA",Product 40
116,32:25.9,1080,535,8,426.6705205,5350.517196,,Direct,Critical,WH-2,Regular,Cancelled,Satisfied,FALSE,Not Specified,Cash,TRUE,East,Canada,Customer 116,-8980,customer.116.38@demo.com,"932 Second St, New York, USA",Product 60
417,11:21.1,1076,555,4,144.2950788,980.9134866,,Partner,High,WH-3,Express,Backorder,Unsatisfied,FALSE,Damaged,Credit Card,TRUE,West,Canada,Customer 417,-3774,customer.417.51@example.com,"755 Park Ave, Phoenix, USA",Product 97
367,16:13.0,1097,524,9,159.0573726,5943.900906,0.1,Partner,Critical,WH-3,Express,Delivered,Unsatisfied,FALSE,Wrong Item,Credit Card,FALSE,East,Canada,Customer 367,-9697,customer.367.34@sample.com,"507 Main St, Houston, USA",Product 99
233,11:21.1,1070,508,6,277.8227996,6757.282872,0.15,Reseller,Medium,WH-1,Overnight,Delivered,Unsatisfied,TRUE,Late,Credit Card,FALSE,North,Mexico,Customer 233,-10136,customer.233.76@sample.com,"671 Second St, New York, USA",Product 70
191,34:03.2,1099,546,9,38.34378023,4743.788009,,Partner,Medium,WH-1,Regular,Pending,Satisfied,TRUE,Late,PayPal,FALSE,North,USA,Customer 191,-10039,customer.191.31@sample.com,"725 Second St, Houston, USA",Product 8
891,29:11.4,1056,523,1,380.7977819,5013.353792,0.05,Direct,High,WH-2,Regular,Cancelled,Neutral,FALSE,Damaged,Wire Transfer,FALSE,West,Canada,Customer 891,-5021,customer.891.33@example.com,"482 Park Ave, New York, USA",Product 88
770,17:50.3,1021,510,4,331.7974475,9438.361611,,Direct,Medium,WH-1,2-Day,Delivered,Neutral,TRUE,Late,Credit Card,FALSE,North,Canada,Customer 770,-9583,customer.770.4@example.com,"886 Third St, New York, USA",Product 45
387,17:50.3,1036,515,2,379.5816472,7036.432792,0.1,Online,High,WH-1,Express,Backorder,Neutral,TRUE,Wrong Item,Credit Card,FALSE,South,Canada,Customer 387,-7012,customer.387.11@sample.com,"606 Fourth St, Los Angeles, USA",Product 95
641,04:51.9,1099,549,9,,6980.821048,0.05,Direct,Low,WH-1,Express,Cancelled,Unsatisfied,FALSE,Damaged,Credit Card,TRUE,West,USA,Customer 641,-3304,customer.641.70@demo.com,"250 Park Ave, Phoenix, USA",Product 40
278,12:58.4,1020,542,6,184.9443785,5034.828782,0.2,Partner,Low,WH-1,Regular,Pending,Satisfied,FALSE,Late,Cash,TRUE,North,Mexico,Customer 278,-4565,customer.278.41@demo.com,"640 Fourth St, Los Angeles, USA",Product 84
649,21:04.9,1096,535,9,160.8199575,7657.985051,,Partner,Low,WH-3,Overnight,Backorder,Satisfied,FALSE,Damaged,Cash,TRUE,South,Mexico,Customer 649,-5982,customer.649.29@demo.com,"670 Fourth St, Los Angeles, USA",Product 63
599,50:16.2,1046,548,2,191.8453398,3755.943792,0.1,Reseller,High,WH-1,Overnight,Delivered,Unsatisfied,FALSE,Late,Credit Card,TRUE,West,Canada,Customer 599,-3586,customer.599.44@example.com,"9 Park Ave, Los Angeles, USA",Product 99
516,30:48.6,1026,520,1,47.71993886,881.3191613,,Reseller,Low,WH-3,Express,Delivered,Neutral,FALSE,Damaged,PayPal,FALSE,West,Mexico,Customer 516,-4974,customer.516.6@demo.com,"721 Park Ave, Los Angeles, USA",Product 11
871,16:13.0,1018,521,4,,6869.126171,0.2,Partner,High,WH-2,Overnight,Pending,Unsatisfied,TRUE,Damaged,Credit Card,TRUE,West,USA,Customer 871,-8243,customer.871.19@sample.com,"185 Third St, New York, USA",Product 57
46,48:38.9,1062,531,9,344.4824384,7743.246107,0.2,Partner,High,WH-3,Overnight,Pending,Unsatisfied,FALSE,Wrong Item,Wire Transfer,TRUE,East,Canada,Customer 46,-2796,customer.46.98@sample.com,"522 Park Ave, Los Angeles, USA",Product 54
481,55:08.1,1053,537,5,345.8675028,6887.646511,0.05,Direct,Critical,WH-3,2-Day,Delivered,Neutral,TRUE,Damaged,PayPal,FALSE,West,USA,Customer 481,-1943,customer.481.48@sample.com,"634 Fourth St, Houston, USA",Product 71
671,40:32.4,1100,534,8,97.83409531,5671.276433,,Reseller,Low,WH-2,Overnight,Pending,Unsatisfied,FALSE,Not Specified,Wire Transfer,TRUE,West,Mexico,Customer 671,-8594,customer.671.44@sample.com,"226 Third St, Houston, USA",Product 45
744,04:51.9,1025,542,3,47.09286638,6154.682461,0.05,Direct,High,WH-3,Regular,Pending,Satisfied,TRUE,Not Specified,Credit Card,TRUE,North,Mexico,Customer 744,-9010,customer.744.48@sample.com,"27 Main St, Phoenix, USA",Product 7
375,22:42.2,1006,524,8,373.5292002,7419.523116,0.05,Direct,Critical,WH-2,Regular,Backorder,Neutral,FALSE,Late,Credit Card,TRUE,North,Mexico,Customer 375,-9462,customer.375.58@sample.com,"215 Main St, Houston, USA",Product 84
717,22:42.2,1054,528,8,202.0110929,3869.921289,0.1,Partner,High,WH-3,Regular,Pending,Satisfied,TRUE,Not Specified,Credit Card,FALSE,West,USA,Customer 717,-10060,customer.717.83@sample.com,"784 Second St, Los Angeles, USA",Product 8
136,25:56.8,1005,544,1,38.46505652,4107.639468,0.15,Partner,High,WH-2,Regular,Backorder,Neutral,TRUE,Not Specified,Wire Transfer,TRUE,West,USA,Customer 136,-2132,customer.136.62@sample.com,"378 Fourth St, Los Angeles, USA",Product 80
166,50:16.2,1036,516,8,,3135.914457,0.1,Online,Low,WH-2,Express,Delivered,Unsatisfied,TRUE,Not Specified,Credit Card,FALSE,East,Canada,Customer 166,-8995,customer.166.17@demo.com,"130 Fourth St, Phoenix, USA",Product 86
651,56:45.4,1081,546,7,476.8793583,,0.15,Reseller,High,WH-2,Regular,Pending,Satisfied,TRUE,Damaged,Wire Transfer,TRUE,East,Canada,Customer 651,-4659,customer.651.72@example.com,"679 Second St, New York, USA",Product 26
779,38:55.1,1012,526,3,278.7253899,6016.129646,0.05,Reseller,Critical,WH-3,2-Day,Backorder,Satisfied,FALSE,Late,Wire Transfer,TRUE,North,Canada,Customer 779,-9493,customer.779.96@sample.com,"668 Main St, Chicago, USA",Product 55
902,51:53.5,1004,531,3,497.8592437,4293.659512,0.15,Online,Medium,WH-1,2-Day,Cancelled,Satisfied,TRUE,,PayPal,TRUE,North,Mexico,Customer 902,-9923,customer.902.21@sample.com,"844 Park Ave, Chicago, USA",Product 56
228,17:50.3,1070,525,6,343.013963,1607.539208,0.2,Partner,Low,WH-2,2-Day,Delivered,Neutral,TRUE,Not Specified,Credit Card,FALSE,South,USA,Customer 228,-10165,customer.228.51@example.com,"238 Third St, New York, USA",Product 90
34,40:32.4,1074,529,6,323.8332607,4028.938995,0.15,Reseller,Low,WH-1,2-Day,Backorder,Unsatisfied,TRUE,Not Specified,Wire Transfer,TRUE,South,Canada,Customer 34,-9594,customer.34.53@sample.com,"174 Second St, Los Angeles, USA",Product 7
612,14:35.7,1007,538,6,,3887.663672,0.1,Direct,High,WH-2,Regular,Cancelled,Neutral,TRUE,Not Specified,Cash,TRUE,South,Canada,Customer 612,-4022,customer.612.65@sample.com,"529 Second St, Houston, USA",Product 77
234,01:37.3,1070,511,3,222.0798411,9349.771686,,Reseller,High,WH-1,Express,Cancelled,Satisfied,FALSE,Not Specified,Cash,TRUE,West,Mexico,Customer 234,-10809,customer.234.55@demo.com,"522 Third St, Los Angeles, USA",Product 8
50,19:27.6,1092,545,3,,2167.17046,,Online,Critical,WH-2,Regular,Delivered,Unsatisfied,TRUE,Late,Wire Transfer,FALSE,West,Mexico,Customer 50,-9749,customer.50.82@example.com,"917 Main St, New York, USA",Product 61
8,19:27.6,1085,536,4,42.34482363,5852.379463,0.05,Partner,Medium,WH-3,Regular,Backorder,Satisfied,TRUE,Damaged,Cash,FALSE,West,Canada,Customer 8,-9708,customer.8.54@example.com,"599 Fourth St, Los Angeles, USA",Product 31
330,29:11.4,1064,546,5,473.7636914,2226.899239,0.15,Partner,Medium,WH-2,2-Day,Backorder,Unsatisfied,TRUE,,Cash,FALSE,West,Mexico,Customer 330,-10992,customer.330.49@demo.com,"733 Fourth St, New York, USA",Product 60
822,56:45.4,1040,525,8,139.3903725,,0.2,Online,Critical,WH-2,2-Day,Pending,Satisfied,TRUE,Wrong Item,PayPal,FALSE,North,USA,Customer 822,-4638,customer.822.39@example.com,"786 Second St, New York, USA",Product 6
804,08:06.5,1082,533,7,361.0345849,3854.477445,0.05,Online,Low,WH-3,Overnight,Cancelled,Satisfied,FALSE,Not Specified,PayPal,FALSE,East,Canada,Customer 804,-8618,customer.804.74@demo.com,"358 Park Ave, Los Angeles, USA",Product 7
875,11:21.1,1048,550,4,163.2612147,4446.708506,0.05,Reseller,High,WH-1,2-Day,Delivered,Unsatisfied,TRUE,Wrong Item,Wire Transfer,TRUE,West,Canada,Customer 875,-3117,customer.875.23@example.com,"470 Main St, Phoenix, USA",Product 76
932,42:09.7,1003,501,9,352.8233891,3876.673705,0.05,Partner,Medium,WH-3,2-Day,Delivered,Neutral,FALSE,,Credit Card,FALSE,South,USA,Customer 932,-6250,customer.932.26@demo.com,"993 Fourth St, New York, USA",Product 70
336,00:00.0,1011,553,6,110.2932534,8853.637049,0.2,Partner,Low,WH-1,Express,Pending,Neutral,TRUE,Damaged,PayPal,TRUE,North,USA,Customer 336,-8458,customer.336.80@sample.com,"37 Third St, Phoenix, USA",Product 23
881,35:40.5,1049,522,9,383.528286,,0.2,Partner,Low,WH-2,Regular,Pending,Neutral,FALSE,Damaged,Wire Transfer,FALSE,North,USA,Customer 881,-3039,customer.881.52@example.com,"540 Third St, Phoenix, USA",Product 2
322,27:34.1,1075,512,1,294.9949236,2925.695551,,Reseller,Medium,WH-2,2-Day,Delivered,Neutral,FALSE,Damaged,Credit Card,TRUE,North,Canada,Customer 322,-9698,customer.322.9@sample.com,"458 Third St, Los Angeles, USA",Product 9
980,27:34.1,1062,552,9,239.8625334,5982.612283,0.2,Online,Critical,WH-2,Regular,Cancelled,Satisfied,TRUE,Damaged,Cash,TRUE,South,Mexico,Customer 980,-9538,customer.980.76@example.com,"542 Second St, Chicago, USA",Product 1
374,47:01.6,1070,560,7,334.893124,4253.975326,0.1,Reseller,High,WH-1,Regular,Cancelled,Unsatisfied,FALSE,Damaged,Cash,TRUE,West,USA,Customer 374,-6948,customer.374.50@example.com,"492 Park Ave, Houston, USA",Product 82
54,22:42.2,1026,519,7,389.9196137,6625.079861,0.05,Online,Low,WH-1,Express,Pending,Neutral,FALSE,Wrong Item,Cash,FALSE,East,Canada,Customer 54,-6098,customer.54.13@demo.com,"804 Park Ave, Houston, USA",Product 63
997,56:45.4,1097,516,8,340.257162,1274.961793,0.1,Direct,Critical,WH-3,Express,Delivered,Neutral,TRUE,Late,PayPal,FALSE,South,Canada,Customer 997,-2501,customer.997.48@example.com,"646 Main St, Houston, USA",Product 96
169,19:27.6,1099,560,2,388.8395182,597.7027114,0.05,Reseller,Low,WH-1,Overnight,Pending,Neutral,FALSE,Late,Credit Card,TRUE,North,Canada,Customer 169,-4283,customer.169.50@sample.com,"87 Third St, New York, USA",Product 17
427,56:45.4,1069,556,7,474.0744269,6089.346099,0.05,Online,High,WH-3,2-Day,Delivered,Unsatisfied,TRUE,Late,Wire Transfer,FALSE,South,Canada,Customer 427,-6075,customer.427.12@example.com,"498 Second St, Chicago, USA",Product 42
801,11:21.1,1059,535,5,319.8717489,,0.2,Direct,Critical,WH-1,Overnight,Backorder,Unsatisfied,TRUE,Late,Wire Transfer,FALSE,West,USA,Customer 801,-5904,customer.801.8@sample.com,"642 Main St, New York, USA",Product 93
592,37:17.8,1008,502,9,276.6844434,6520.260198,0.05,Online,Medium,WH-1,Express,Delivered,Satisfied,FALSE,Damaged,PayPal,FALSE,North,Mexico,Customer 592,-4410,customer.592.37@sample.com,"781 Main St, Los Angeles, USA",Product 38
764,51:53.5,1062,522,1,181.7550618,1261.77419,0.1,Reseller,Medium,WH-2,2-Day,Pending,Unsatisfied,FALSE,Wrong Item,PayPal,FALSE,North,Mexico,Customer 764,-4422,customer.764.39@example.com,"638 Third St, Los Angeles, USA",Product 6
853,03:14.6,1093,503,1,451.4708389,9486.723454,0.1,Partner,Medium,WH-1,Regular,Delivered,Unsatisfied,FALSE,Not Specified,PayPal,FALSE,West,USA,Customer 853,-4357,customer.853.89@example.com,"88 Park Ave, Chicago, USA",Product 99
211,17:50.3,1018,524,5,,3481.841727,0.05,Online,High,WH-2,2-Day,Cancelled,Satisfied,FALSE,Damaged,Credit Card,FALSE,East,USA,Customer 211,-2529,customer.211.80@sample.com,"946 Third St, Phoenix, USA",Product 12
493,08:06.5,1038,520,8,146.1478603,1983.914325,,Online,Low,WH-3,Express,Delivered,Satisfied,TRUE,Not Specified,Credit Card,FALSE,South,Canada,Customer 493,-4334,customer.493.68@demo.com,"815 Second St, Phoenix, USA",Product 33
930,48:38.9,1017,556,8,391.7602673,9919.56137,0.05,Partner,Low,WH-3,Regular,Pending,Neutral,FALSE,Not Specified,Wire Transfer,TRUE,East,Canada,Customer 930,-4702,customer.930.18@sample.com,"804 Fourth St, Phoenix, USA",Product 10
